title,ratingDescription average,release year average,user rating score average,user rating size average
10 Things I Hate About You,80.0,1999.0,68.0,80.0
100 Metros,110.0,2016.0,,82.0
13 Reasons Why,110.0,2017.0,99.0,80.0
3%,110.0,2016.0,,82.0
30 Rock,90.0,2012.0,66.0,80.0
5 to 7,100.0,2014.0,,82.0
90210,90.0,2013.0,62.0,80.0
A Monster in Paris,60.0,2011.0,,82.0
A Weekend with the Family,110.0,2016.0,,82.0
Absolutely Fabulous,90.0,2012.0,59.0,80.0
Abstract: The Art of Design,90.0,2017.0,,82.0
Agent F.O.X.,60.0,2014.0,,82.0
Air Bud: Spikes Back,35.0,2003.0,,82.0
Air Bud: World Pup,35.0,2000.0,,82.0
Air Buddies,60.0,2006.0,,82.0
Alice Through the Looking Glass,60.0,2016.0,96.0,80.0
All Hail King Julien,42.0,2016.0,71.0,80.0
Almost Adults,124.0,2016.0,,82.0
Alpha and Omega: Dino Digs,35.0,2016.0,,82.0
American Crime,90.0,2016.0,,82.0
American Crime Story: The People v. O.J. Simpson,110.0,2016.0,79.0,80.0
American Horror Story,110.0,2016.0,90.0,80.0
American Odyssey,90.0,2015.0,,82.0
Amy Schumer: The Leather Special,110.0,2017.0,,82.0
An American Tail,35.0,1986.0,67.0,80.0
An American Tail: Fievel Goes West,35.0,1991.0,,82.0
An American Tail: The Mystery of the Night Monster,35.0,1999.0,,82.0
An Extremely Goofy Movie,35.0,1999.0,67.0,80.0
Anastasia,35.0,1997.0,93.0,80.0
Angry Birds,35.0,2013.0,,82.0
Animaniacs,41.0,1997.0,72.0,80.0
Annie,60.0,1982.0,68.0,80.0
Antz,60.0,1998.0,80.0,80.0
Aquarius,110.0,2015.0,,82.0
Army Wives,90.0,2013.0,61.0,80.0
Arrow,90.0,2015.0,96.0,80.0
Ask the StoryBots,10.0,2016.0,,82.0
Atlantis: Milo's Return,35.0,2003.0,79.0,80.0
Atlantis: The Lost Empire,60.0,2001.0,96.0,80.0
Axel: The Biggest Little Hero,60.0,2013.0,,82.0
Babe: Pig in the City,35.0,1998.0,,82.0
Baby Daddy,90.0,2016.0,80.0,80.0
Baby's Day Out,60.0,1994.0,71.0,80.0
Back and Forth,124.0,2016.0,,82.0
Back to the Secret Garden,35.0,2002.0,,82.0
Balto,35.0,1995.0,64.0,80.0
Balto 2: Wolf Quest,35.0,2001.0,,82.0
Barbie Life in the Dreamhouse,35.0,2012.0,85.0,80.0
Batched,35.0,2000.0,,82.0
Bates Motel,90.0,2016.0,83.0,80.0
Beary Tales,35.0,2013.0,,82.0
Bee Movie,60.0,2007.0,94.0,80.0
Being Human (U.S.),90.0,2014.0,58.0,80.0
Being Mary Jane: The Series,90.0,2016.0,,82.0
Better Call Saul,110.0,2016.0,95.0,80.0
Better Off Single,110.0,2016.0,,82.0
Beverly Hills Chihuahua 3: Viva La Fiesta!,35.0,2012.0,,82.0
Beyblade: Metal Fusion,41.0,2009.0,,82.0
Bitten,110.0,2016.0,56.0,80.0
Black Mirror,110.0,2016.0,80.0,80.0
Blank Check,60.0,1994.0,93.0,80.0
Blinky Bill: The Movie,60.0,2015.0,,82.0
Bloodline,110.0,2016.0,,82.0
Blow,100.0,2001.0,78.0,80.0
Blue Bloods,90.0,2016.0,95.0,80.0
BoJack Horseman,110.0,2016.0,,82.0
Bob the Builder,10.0,2015.0,,82.0
Bones,90.0,2016.0,97.0,80.0
Bordertown,96.66666666666667,2016.0,,80.66666666666667
Boy Bye,110.0,2016.0,,82.0
Breaking Bad,110.0,2013.0,97.0,80.0
Breakout Kings,90.0,2012.0,88.0,80.0
Brickleberry,110.0,2014.0,63.0,80.0
Brother Bear 2,35.0,2006.0,57.0,80.0
Buddy Thunderstruck,70.0,2017.0,,82.0
Bunk'd,35.0,2016.0,61.0,80.0
Bunks,70.0,2013.0,,82.0
Burn Notice,90.0,2013.0,85.0,80.0
Californication,110.0,2014.0,63.0,80.0
Care Bears: Welcome to Care-a-Lot,10.0,2012.0,,82.0
Cars Toons: Mater's Tall Tales,35.0,2010.0,74.0,80.0
Cats & Dogs,60.0,2001.0,,82.0
Charmed,70.0,2005.0,90.0,80.0
Cheer Squad,70.0,2016.0,61.0,80.0
Chef's Table,110.0,2017.0,,82.0
Chelsea,110.0,2017.0,,82.0
Chewing Gum,110.0,2017.0,93.0,80.0
Chicken Little,35.0,2005.0,92.0,80.0
Chicken Run,35.0,2000.0,80.0,80.0
Chuggington,10.0,2015.0,,82.0
City of God: 10 Years Later,110.0,2013.0,,82.0
Clifford the Big Red Dog,10.0,2002.0,,82.0
Clifford's Puppy Days,10.0,2003.0,,82.0
Come Fly With Me,90.0,2010.0,,82.0
Cool Runnings,60.0,1993.0,81.0,80.0
Cooper Barrett's Guide to Surviving Life,90.0,2016.0,,82.0
Coraline,60.0,2009.0,95.0,80.0
Corpse Bride,60.0,2005.0,91.0,80.0
Crazy Ex-Girlfriend,90.0,2017.0,,82.0
Crazyhead,110.0,2016.0,,82.0
Criminal Minds,90.0,2016.0,98.0,80.0
Crossing Lines,90.0,2015.0,66.0,80.0
Curious George,35.0,2006.0,55.0,80.0
D2: The Mighty Ducks,60.0,1994.0,70.0,80.0
Dave Chappelle,110.0,2017.0,94.0,80.0
Dawn of the Croods,41.0,2017.0,72.0,80.0
Death Note,90.0,2006.0,77.0,80.0
Death in Paradise,90.0,2016.0,77.0,80.0
Deidra & Laney Rob a Train,90.0,2017.0,,82.0
Delhi Safari,60.0,2012.0,,82.0
Dexter,110.0,2013.0,95.0,80.0
Dino Squad,41.0,2008.0,,82.0
Dinosaur King,42.0,2008.0,,82.0
Dinotrux,42.0,2017.0,,82.0
Disney Animation Collection: Vol. 1: Mickey and the Beanstalk,35.0,2009.0,,82.0
Disney Animation Collection: Vol. 2: Three Little Pigs,35.0,2009.0,,82.0
Disney Animation Collection: Vol. 4: The Tortoise and the Hare,35.0,2009.0,,82.0
Documentary Now!,90.0,2016.0,,82.0
Dolphin Tale,60.0,2011.0,,82.0
Don't Trust the B---- in Apartment 23,90.0,2012.0,,82.0
Dope,100.0,2015.0,79.0,80.0
Dr. Dolittle: Tail to the Chief,60.0,2008.0,,82.0
Dragons: Race to the Edge,42.0,2017.0,88.0,80.0
DreamWorks How to Train Your Dragon Legends,70.0,2011.0,,82.0
DreamWorks Kung Fu Panda Awesome Secrets,70.0,2008.0,,82.0
DreamWorks Shrek's Swamp Stories,70.0,2008.0,56.0,80.0
DreamWorks Spooky Stories: Volume 2,70.0,2011.0,,82.0
Drop Dead Diva,70.0,2014.0,,82.0
"Drugs, Inc.",90.0,2015.0,,82.0
Easy,110.0,2016.0,,82.0
Edgar Rice Burroughs' Tarzan and Jane,42.0,2017.0,,82.0
Ernest & Celestine,60.0,2012.0,,82.0
Family Guy,110.0,2015.0,98.0,80.0
Fantasia,35.0,1940.0,61.0,80.0
Fantasia 2000,35.0,2000.0,,82.0
Fearless,90.0,2016.0,,82.0
Felipe Neto: My Life Makes No Sense,110.0,2017.0,,82.0
FernGully 2: The Magical Rescue,35.0,1998.0,,82.0
FernGully: The Last Rainforest,35.0,1992.0,70.0,80.0
Finding Dory,60.0,2016.0,98.0,80.0
Flaked,110.0,2016.0,,82.0
Flicka 2,60.0,2010.0,,82.0
Flubber,60.0,1997.0,83.0,80.0
Forensic Files,90.0,2011.0,88.0,80.0
Friday Night Lights,70.0,2010.0,81.0,80.0
Fried,110.0,2015.0,,82.0
Friends,90.0,2003.0,98.0,80.0
Friends with Benefits,90.0,2011.0,,82.0
Fuller House,35.0,2016.0,90.0,80.0
Gabriel lglesias: IÛªm Sorry For What I Said When I Was Hungry,90.0,2016.0,84.0,80.0
Gilmore Girls,90.0,2006.0,91.0,80.0
Gilmore Girls: A Year in the Life,90.0,2016.0,77.0,80.0
Girlboss,110.0,2017.0,94.0,80.0
Girlfriends' Guide to Divorce,90.0,2015.0,63.0,80.0
Glee,70.0,2015.0,92.0,80.0
Goldie & Bear,10.0,2016.0,77.0,80.0
Gon,35.0,2013.0,,82.0
Goosebumps,47.333333333333336,2003.6666666666667,88.66666666666667,80.0
Gossip Girl,90.0,2012.0,96.0,80.0
Gotham,90.0,2016.0,85.0,80.0
Grace and Frankie,110.0,2017.0,90.0,80.0
Grease,60.0,1978.0,86.0,80.0
Greenleaf,90.0,2016.0,62.0,80.0
Grey's Anatomy,90.0,2016.0,98.0,80.0
Growing Up Wild,35.0,2016.0,80.0,80.0
H2O: Just Add Water,70.0,2009.0,74.0,80.0
Halt and Catch Fire,90.0,2016.0,,82.0
Hannah Montana: The Movie,35.0,2009.0,56.0,80.0
Hap and Leonard,110.0,2016.0,57.0,80.0
Happily Married,90.0,2015.0,,82.0
Harry and the Hendersons,60.0,1987.0,58.0,80.0
Hart of Dixie,70.0,2014.0,81.0,80.0
Hatched,41.0,2013.0,,82.0
Haters Back Off,90.0,2016.0,58.0,80.0
Hawaii Five-0,90.0,2016.0,96.0,80.0
Heartland,70.0,2015.0,85.0,80.0
Heavyweights,60.0,1995.0,74.0,80.0
High School Musical,35.0,2006.0,64.0,80.0
High School Musical 2,35.0,2007.0,58.0,80.0
Home,60.0,2015.0,94.0,80.0
Home: Adventures with Tip & Oh,41.0,2017.0,,82.0
