show_canonical_name,show_clips_count average,show_episodes_count average,show_rating average,show_seasons_count average
adventure-time,223.0,223.0,4.36580305,7.0
american-dad,121.0,172.0,4.114006824,9.0
americas-got-talent,171.0,12.0,3.335469442,1.0
americas-next-top-model,0.0,283.0,3.5413735789999996,22.0
archer,14.0,85.0,4.448908555000001,7.0
arrested-development,249.0,53.0,4.6878376599000005,3.0
awkward,93.0,89.0,4.5081756760000005,5.0
blackish,229.0,72.0,4.237078170000001,3.0
bleach,0.0,732.0,4.421983759,26.0
blindspot,49.0,45.0,4.5225132433,2.0
blue-bloods,0.0,155.0,4.551720635000001,7.0
bobs-burgers,99.0,129.0,4.323965171500001,7.0
bones,60.0,246.0,4.6185971502,12.0
broad-city,60.0,30.0,4.6421628536,3.0
brooklyn-nine-nine,155.0,90.0,4.525908437699999,4.0
casual,20.0,36.0,4.536517228,3.0
catfish-the-tv-show,78.0,77.0,4.198490154,5.0
chicago-fire,65.0,5.0,4.6325614999999996,1.0
chicago-pd,66.0,23.0,4.549655876,1.0
clarence,77.0,77.0,3.34723817,2.0
community,0.0,110.0,4.5838545384,6.0
csi-crime-scene-investigation,0.0,337.0,4.496905704,16.0
curious-george,0.0,108.0,3.5785874760000005,9.0
dancing-with-the-stars,31.0,0.0,3.2427550179999995,0.0
desperate-housewives,323.0,180.0,3.6984763729999997,8.0
doc-mcstuffins,0.0,92.0,3.5036161560000005,3.0
drake-and-josh,0.0,47.0,3.942142375714286,4.0
east-los-high,34.0,60.0,4.15686925,4.0
elementary,1.0,120.0,4.574679445799999,5.0
empire,200.0,48.0,4.57500889,3.0
fairy-tail,0.0,349.0,4.520954044999999,8.0
family-guy,288.0,288.0,4.35370739,15.0
frasier,0.0,264.0,4.252930323,11.0
fresh-off-the-boat,31.0,60.0,4.420029647999999,3.0
general-hospital,1052.0,10.0,3.8199223860000004,1.0
glee,0.0,121.0,4.187489416,6.0
gotham,120.0,5.0,4.6133579959999995,1.0
gravity-falls,1.0,40.0,4.598782733,2.0
greys-anatomy,155.0,24.0,4.462517355000001,1.0
grimm,44.0,5.0,4.600659796,1.0
happy-endings,139.0,57.0,4.354798761,3.0
hells-kitchen,1.0,0.0,4.05219787,0.0
hey-arnold,0.0,99.0,4.098780423,5.0
homeland,11.0,72.0,4.69207411,6.0
inside-amy-schumer,79.0,39.0,3.7504569886,4.0
inuyasha,1.0,334.0,4.325406635,7.0
its-always-sunny-in-philadelphia,8.0,123.0,4.478408089,11.0
jersey-shore,33.0,74.0,3.5956573999999994,6.0
jimmy-kimmel-live,1605.0,16.0,3.2966858460000004,1.0
keeping-up-with-the-kardashians,683.0,181.0,3.2116053780000002,12.0
key-and-peele,96.0,53.0,4.4381820763,5.0
kitchen-nightmares,1.0,92.0,4.019048561,6.0
last-man-standing,2.0,22.0,4.375276496000001,1.0
law-and-order-special-victims-unit,176.0,406.0,4.622855997,18.0
lucifer,33.0,31.0,4.630420254,2.0
masterchef,146.0,10.0,4.217083887300001,1.0
mistresses-us,1.0,52.0,4.287256640000001,4.0
modern-family,68.0,22.0,4.640557594,1.0
naruto,0.0,440.0,4.212942744,4.0
naruto-shippuden,16.0,597.0,4.400626276000001,9.0
nashville,426.0,107.0,4.4244967566,5.0
new-girl,139.0,22.0,4.5882924880000004,1.0
once-upon-a-time,135.0,22.0,4.715775889,1.0
one-piece,4.0,747.0,4.1466860589999985,11.0
parks-and-recreation,1.0,123.0,4.582548165,7.0
pretty-little-liars,7.0,5.0,4.498914555,1.0
private-practice,246.0,111.0,4.230377343,6.0
project-runway,163.0,88.0,3.8848191040000004,6.0
rabbids-invasion,0.0,52.0,3.4339656579999995,2.0
ready-steady-wiggle,0.0,104.0,2.193160087,2.0
reba,0.0,90.0,4.123555574999999,4.0
