Song,Artist,Weeks On Chart,Peak Rank
0,Blank Space,Taylor Swift,36,1
1,Take Me To Church,Hozier,41,2
2,Uptown Funk!,Mark Ronson Featuring Bruno Mars,56,1
3,Thinking Out Loud,Ed Sheeran,58,2
4,Lips Are Movin,Meghan Trainor,29,4
5,I'm Not The Only One,Sam Smith,37,5
6,Love Me Harder,Ariana Grande & The Weeknd,22,7
7,Jealous,Nick Jonas,32,7
8,Animals,Maroon 5,33,8
9,All About That Bass,Meghan Trainor,47,5
10,Shake It Off,Taylor Swift,50,5
11,I Don't F**k With You,Big Sean Featuring E-40,29,12
12,The Heart Wants What It Wants,Selena Gomez,20,13
13,Wasted Love,Matt McAndrew,0,14
14,Only,"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",25,15
15,Habits (Stay High),Tove Lo,39,16
16,Tuesday,I LOVE MAKONNEN Featuring Drake,22,17
17,Waves,Mr. Probz,25,18
18,Don't,Ed Sheeran,36,13
19,Centuries,Fall Out Boy,34,10
20,The Hanging Tree,James Newton Howard Featuring Jennifer Lawrence,17,13
21,Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj",31,15
22,No Type,Rae Sremmurd,26,18
23,7/11,Beyonce,20,18
24,Hot Boy,Bobby Shmurda,25,23
25,Blame,Calvin Harris Featuring John Newman,20,26
26,Stay With Me,Sam Smith,54,11
27,CoCo,O.T. Genasis,20,20
28,Beg For It,Iggy Azalea Featuring M0,16,27
29,Don't Tell 'Em,Jeremih Featuring YG,31,28
30,I Don't Mind,Usher Featuring Juicy J,23,11
31,Riptide,Vance Joy,44,30
32,Black Widow,Iggy Azalea Featuring Rita Ora,30,29
33,My Baby's Got A Smile On Her Face,Craig Wayne Boyd,0,34
34,All I Want For Christmas Is You,Mariah Carey,30,3
35,Heroes (We Could Be),Alesso Featuring Tove Lo,20,31
36,Trumpets,Jason Derulo,32,30
37,Shotgun Rider,Tim McGraw,20,38
38,Stolen Dance,Milky Chance,25,39
39,Chandelier,Sia,46,20
40,Something In The Water,Carrie Underwood,20,37
41,Santa Tell Me,Ariana Grande,5,42
42,Feeling Myself,Nicki Minaj Featuring Beyonce,20,39
43,Lifestyle,Rich Gang Featuring Young Thug & Rich Homie Quan,25,42
44,Rather Be,Clean Bandit Featuring Jess Glynne,31,44
45,Try Me,The Weeknd,20,26
46,Ghost,Ella Henderson,20,21
47,Anaconda,Nicki Minaj,22,48
48,Rude,MAGIC!,41,27
49,Night Changes,One Direction,20,34
50,Talladega,Eric Church,20,43
51,"Touchin, Lovin",Trey Songz Featuring Nicki Minaj,20,52
52,Velvet,Chris Jamison,0,53
53,Hold You Down,"DJ Khaled Featuring Chris Brown, August Alsina, Future & Jeremih",20,54
54,L.A.LOVE (la la),Fergie,18,38
55,About The Money,T.I. Featuring Young Thug,20,56
56,Sun Daze,Florida Georgia Line,20,44
57,"Mary, Did You Know?",Pentatonix,7,45
58,Perfect Storm,Brad Paisley,17,57
59,I Bet My Life,Imagine Dragons,22,28
60,I See You,Luke Bryan,19,41
61,Bed Of Lies,Nicki Minaj Featuring Skylar Grey,6,62
62,Lost Without U,Chris Jamison & Adam Levine,0,63
63,I Lived,OneRepublic,17,32
64,Masterpiece,Jessie J,3,65
65,Lonely Tonight,Blake Shelton Featuring Ashley Monroe,17,47
66,Til It's Gone,Kenny Chesney,14,60
67,Dangerous,Meek Mill Featuring Jeremih & PnB Rock,20,31
68,Prayer In C,Lillywood & Robin Schulz,20,23
69,Steal My Girl,One Direction,18,51
70,Close Your Eyes,Parmalee,16,71
71,Drinking Class,Lee Brice,22,53
72,Just Gettin' Started,Jason Aldean,18,54
73,Soldier,Damien,0,74
74,Sledgehammer,Fifth Harmony,15,40
75,Make Me Wanna,Thomas Rhett,20,43
76,G.D.F.R.,Flo Rida Featuring Sage The Gemini & Lookas,35,8
77,God Made Girls,RaeLynn,16,61
78,She Knows,Ne-Yo Featuring Juicy J,20,19
79,Somewhere In My Car,Keith Urban,20,79
80,Often,The Weeknd,20,59
81,Mean To Me,Brett Eldredge,20,53
82,Lost Stars,Matt McAndrew & Adam Levine,0,83
83,Girl In A Country Song,Maddie & Tae,20,84
84,Try,Colbie Caillat,20,65
85,Shut Up And Dance,WALK THE MOON,53,4
86,Time Of Our Lives,Pitbull & Ne-Yo,27,9
87,Get On Your Knees,Nicki Minaj Featuring Ariana Grande,0,88
88,***Flawless,Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie,20,75
89,Apparently,J. Cole,16,58
90,Like A Cowboy,Randy Houser,14,62
91,Body Language,Kid Ink Featuring Usher & Tinashe,18,72
92,No Love,August Alsina,18,88
93,Break The Rules,Charli XCX,3,91
94,Lonely Eyes,Chris Young,18,50
95,Fireball,Pitbull Featuring John Ryan,20,96
96,Homegrown Honey,Darius Rucker,20,53
97,Wet Dreamz,J. Cole,20,61
98,Yellow Flicker Beat,Lorde,9,90
99,In Your Arms,Nico & Vinz,12,79
100,Earned It (Fifty Shades Of Grey),The Weeknd,43,3
101,Dear Future Husband,Meghan Trainor,24,14
102,Bad Blood,Taylor Swift Featuring Kendrick Lamar,25,1
103,Style,Taylor Swift,32,6
104,Burnin' Up,Jessie J Featuring 2 Chainz,6,87
105,Something Big,Shawn Mendes,3,80
106,Stuck On A Feeling,Prince Royce Featuring Snoop Dogg,10,43
107,Bad B*tch,French Montana Featuring Jeremih,0,95
108,Neon Light,Blake Shelton,20,89
109,Can't Stop Dancin',Becky G,3,88
110,Shell Shocked,"Juicy J, Wiz Khalifa & Ty Dolla $ign Featuring Kill The Noise & Madsonik",3,99
111,Title,Meghan Trainor,0,100
112,Only One,Kanye West Featuring Paul McCartney,8,35
113,Outside,Calvin Harris Featuring Ellie Goulding,20,29
114,Throw Sum Mo,Rae Sremmurd Featuring Nicki Minaj & Young Thug,20,30
115,Take Your Time,Sam Hunt,32,20
116,What We Ain't Got,Jake Owen,11,89
117,Geronimo,Sheppard,21,53
118,A Guy Walks Into A Bar,Tyler Farr,20,51
119,Take It On Back,Chase Bryant,8,82
120,Ain't Worth The Whiskey,Cole Swindell,19,43
121,I Mean It,G-Eazy Featuring Remo,4,98
122,Elastic Heart,Sia,30,17
123,Ayo,Chris Brown & Tyga,20,21
124,Love Me Like You Do,Ellie Goulding,34,3
125,Irresistible,Fall Out Boy,14,48
126,Best Friends,Sophia Grace,0,87
127,Not For Long,B.o.B Featuring Trey Songz,9,80
128,Post To Be,Omarion Featuring Chris Brown & Jhene Aiko,37,13
129,All About It,Hoodie Allen Featuring Ed Sheeran,4,71
130,Sugar,Robin Schulz Featuring Francesco Yates,42,2
131,Heartbeat Song,Kelly Clarkson,20,21
132,Homegrown,Zac Brown Band,20,35
133,Uma Thurman,Fall Out Boy,27,22
134,Glory,Common & John Legend,3,49
135,Say You Do,Dierks Bentley,18,52
136,The Body,Wale Featuring Jeremih,6,87
137,FourFiveSeconds,Rihanna & Kanye West & Paul McCartney,20,4
